,GSM3319036_Ovary Normal_eHormones,GSM3319036_Ovary Normal_eStromal,GSM3319040_Ovary Normal_eStromal,GSM3319041_Ovary Normal_eHormones,GSM3319041_Ovary Normal_eStromal,GSM3319042_Ovary Normal_eStromal,GSM3319043_Ovary Normal_eHormones,GSM3319043_Ovary Normal_eStromal,GSM3557960_Ovary Normal_eStromal,GSM3557970_Ovary Normal_eStromal,GSM3557971_Ovary Normal_eHormones,GSM3557972_Ovary Normal_eHormones,GSM3557973_Ovary Normal_eHormones,GSM4568674_Fallopian Tube Normal_secretory cell,GSM4568675_Fallopian Tube Normal_ciliated epithelial cell,GSM4568675_Fallopian Tube Normal_secretory cell,GSM4568676_Fallopian Tube Normal_ciliated epithelial cell,GSM4568676_Fallopian Tube Normal_secretory cell,GSM4568677_Fallopian Tube Normal_secretory cell,GSM4568678_Fallopian Tube Normal_ciliated epithelial cell,GSM4568678_Fallopian Tube Normal_secretory cell,GSM4568679_Fallopian Tube Normal_ciliated epithelial cell,GSM4568679_Fallopian Tube Normal_secretory cell,GSM4568681_Fallopian Tube Normal_ciliated epithelial cell,GSM4568681_Fallopian Tube Normal_secretory cell,GSM4568682_Fallopian Tube Normal_ciliated epithelial cell,GSM4568682_Fallopian Tube Normal_secretory cell,GSM4568684_Fallopian Tube Normal_ciliated epithelial cell,GSM4568684_Fallopian Tube Normal_secretory cell,GSM4568685_Fallopian Tube Normal_ciliated epithelial cell,GSM4568685_Fallopian Tube Normal_secretory cell,GSM4675273_Cancer,GSM4675277_Cancer,ov_GSE184880_GSM5599224_Ovary Normal_eHormones,ov_GSE184880_GSM5599225_Cancer,ov_GSE184880_GSM5599226_Cancer,ov_GSE184880_GSM5599230_Cancer,ov_GSE184880_GSM5599231_Cancer,ov_GSE213243_GSM6576367_Cancer,pan_blue_hgstoc_SOL012_Cancer,pan_blueprint_ovary_scrSOL004_Cancer
VIM,96.59452,100.070206,15.529916,20.031616,20.21478,22.915922,30.894018,19.772717,17.322416,18.879333,39.805264,36.805984,23.569181,9.118774,14.284576,11.990435,5.946506,3.6211681,3.0894983,7.8711386,9.445997,1.7292998,1.0662249,10.587054,13.636622,1.6300344,1.4571319,11.769837,10.87941,3.329223,2.2496371,4.945388,1.1018988,18.353167,0.7732282,0.5748729,11.8740225,0.39311168,0.19329587,3.1547413,30.488441
ARL5B,0.34628925,1.2067167,4.1018023,0.4748088,5.2352676,3.0688977,0.28034797,1.3751704,4.584939,3.6256664,0.109334975,0.41206783,0.31044888,0.26933187,0.29924852,0.16079561,0.27790916,0.5567818,0.5084373,0.38979244,0.9263648,0.25908563,0.5665214,0.23200491,0.3867743,0.16825093,0.5516608,0.4380404,0.21847643,0.25893012,0.25126663,0.5253251,0.29698604,0.13410655,0.605434,0.7451922,0.7227433,1.0309379,0.06837626,0.11956864,0.40268198
ARMC3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036773172,0.0,0.0,0.0,0.088672265,2.470746,0.117361255,2.0204735,0.06602965,0.18392648,1.9648128,0.08993099,2.769318,0.11957133,2.2088761,0.0,2.6534774,0.10266931,1.8742585,0.09059945,2.276118,0.060057126,0.018769234,0.029856244,0.0,0.16233595,0.04629315,0.036772244,0.0205911,0.32109046,0.0051304097,0.027367271
BAMBI,8.286949,2.220861,1.6285595,0.9664473,1.8181168,2.5469968,5.3982897,3.0526505,1.8087289,1.967439,5.0851574,4.837697,1.7440982,0.09561528,0.0131980935,0.008819721,0.0767902,0.10263452,0.018459221,0.030034412,0.019992787,0.015027967,0.01490712,0.042572193,0.0,0.011289718,0.004617331,0.02072752,0.01380543,0.0,0.0,0.11380303,0.27307737,0.4093264,0.004997798,0.009014339,0.14920326,0.001141199,0.01230642,0.0014685591,0.9537238
ITGB1,11.598713,6.6046543,4.347909,6.7637386,5.2154846,5.1166005,6.034709,4.053346,5.5622473,4.807702,10.7953415,6.0331697,6.6686115,0.5279817,1.5904443,1.9943086,4.6966014,1.8966068,1.0121489,1.5015403,1.3052886,1.2358406,1.0878886,1.2194891,1.277883,1.1151625,0.868982,1.4035324,0.9468032,0.99864566,1.0374217,3.3340037,0.69120383,3.2423658,1.8831269,1.328242,2.5119774,1.4511654,0.9170565,1.7602197,1.9695433
UBE2D1,0.8677009,7.653258,4.3800397,0.5586831,7.353973,4.9374385,0.7335541,5.1762896,2.5756693,3.1704109,0.32445925,0.4757035,0.5131564,0.17189822,0.38741708,0.1374319,0.35372528,0.47971964,0.09188084,0.34494784,0.14800459,0.12986253,0.24235173,0.48144928,0.24656878,0.10491493,0.13362111,0.5895877,0.30743825,0.10273358,0.12670167,1.1614267,0.2571711,0.34755823,0.12129376,0.46770978,0.36345285,0.22248401,0.19448972,0.3684293,0.7315225
ARID5B,0.8355836,3.8196487,8.817514,0.34422082,12.029586,10.151962,1.5083175,12.143952,3.3507771,3.0638595,0.13475318,1.0336775,0.1060905,1.3108898,1.2403119,0.5078925,2.050058,2.4621494,1.1654922,0.4584442,1.5393642,0.60294133,2.9044085,0.67048883,1.1321279,0.46631885,1.5684285,2.710079,1.1813453,0.60976624,1.892165,1.9035931,0.7333561,0.17880996,1.0905733,0.5747506,1.2193369,1.467135,1.1248877,3.342172,0.5344603
RPS24,18.569836,20.087564,20.453484,25.069052,21.227158,22.810772,23.4278,18.28721,19.920193,16.132574,19.485252,20.302265,19.108332,48.527172,19.479292,36.850964,14.375941,39.016235,61.94373,17.260447,21.625486,19.130074,31.824917,17.838116,33.75572,20.104813,40.141228,15.291594,46.20731,27.372091,58.725704,7.867856,47.122517,42.07971,13.774404,24.384592,20.59485,11.839742,8.561486,101.81292,63.17352
DYDC2,0.0,0.0,0.0,0.034944396,0.0,0.0,0.025180543,0.0,0.0076904716,0.009770209,0.03606004,0.0,0.016466657,0.01293857,2.8757417,0.06166882,5.1380973,0.08854426,0.008440428,3.4488478,0.033011287,4.901419,0.17891982,3.854425,0.08425381,4.6073647,0.15669703,3.553625,0.052855518,4.8793178,0.010717076,0.0066883275,0.035404414,0.0,0.04332176,0.06125132,0.013575764,0.1123718,0.12898302,0.015901182,0.0
ADIRF,0.06781318,0.05843876,0.16983518,0.09131002,0.084449776,0.3067473,0.22714289,0.13457492,0.39466515,0.13647577,0.4037918,0.04930403,0.30322856,3.09475,0.8099049,1.1558553,1.1301684,2.7978182,2.8218248,0.83878416,2.0480578,1.1289036,5.9563794,0.297523,0.9423952,0.8469475,6.1017623,0.07665417,0.6221682,1.1977133,4.182973,0.24488617,0.23009801,0.17709629,4.9835606,0.2345165,0.26967487,2.676431,0.0015866928,3.146362,0.07981677
AVPI1,11.0315695,2.7147954,0.40766636,1.3822905,1.0152334,0.85769767,2.960642,2.5259602,0.29136154,0.21977854,6.1736503,2.2991695,1.1621395,0.19471553,0.14505635,0.04675196,0.24040458,0.17452645,0.05024478,0.1782342,0.16204713,0.11847931,0.07417545,0.15246709,0.090866745,0.1225591,0.06295278,0.38070136,0.047812376,0.05732332,0.14520429,0.22539364,0.73664045,1.6565384,0.05267527,0.15280221,0.05360022,0.0502323,0.08451426,0.10091709,0.08580527
SCD,2.3601267,1.0362221,1.438002,1.2763879,1.2419627,1.1772246,1.0418944,1.0901024,0.6796677,0.5901406,1.6765782,2.1036477,1.4130011,0.01814093,0.0984714,0.04542974,0.013068781,0.0,0.022664653,0.0095772175,0.035916667,0.043677885,0.0013618363,0.03763093,0.18373695,0.013484583,0.008858225,0.01579373,0.20407432,0.010347316,0.024172803,0.28948748,0.23211774,1.6720039,0.053332698,2.594719,0.2349309,0.17373149,0.97415596,0.029365,0.26272663
DPCD,0.28733483,0.22060889,0.2902441,0.37528458,0.20868206,0.22354929,0.42730993,0.1652598,0.2974643,0.3211804,0.31730402,0.2235126,0.31364006,0.32125136,3.3710282,0.5054081,2.9093895,0.44419533,0.57344896,2.9387498,0.38965333,3.141395,0.29480666,3.837712,0.24578135,2.9497452,0.55552125,3.5258842,0.3686225,3.7281067,0.64327204,0.7331738,1.7152207,0.36553466,0.18224436,0.6134767,0.2880615,0.17152685,1.9044124,0.81455797,1.7604647
CFAP43,0.0,0.010650856,0.066892326,0.0,0.0,0.0,0.0045531457,0.030294463,0.0,0.0,0.0075668683,0.0,0.01476467,0.048222978,1.9499068,0.035327226,1.8092247,0.052955564,0.060121987,2.6471107,0.06379507,3.7983735,0.1646512,2.873137,0.035591252,3.51601,0.12044581,1.8744888,0.04287674,2.07548,0.0,0.029348413,0.0037426162,0.0,0.05169092,0.018386895,0.016218677,0.014366382,0.3002256,0.0077639823,0.09208711
