,GSM3319036_Ovary Normal_eHormones,GSM3319036_Ovary Normal_eStromal,GSM3319040_Ovary Normal_eStromal,GSM3319041_Ovary Normal_eHormones,GSM3319041_Ovary Normal_eStromal,GSM3319042_Ovary Normal_eStromal,GSM3319043_Ovary Normal_eHormones,GSM3319043_Ovary Normal_eStromal,GSM3557960_Ovary Normal_eStromal,GSM3557970_Ovary Normal_eStromal,GSM3557971_Ovary Normal_eHormones,GSM3557972_Ovary Normal_eHormones,GSM3557973_Ovary Normal_eHormones,GSM4568674_Fallopian Tube Normal_secretory cell,GSM4568675_Fallopian Tube Normal_ciliated epithelial cell,GSM4568675_Fallopian Tube Normal_secretory cell,GSM4568676_Fallopian Tube Normal_ciliated epithelial cell,GSM4568676_Fallopian Tube Normal_secretory cell,GSM4568677_Fallopian Tube Normal_secretory cell,GSM4568678_Fallopian Tube Normal_ciliated epithelial cell,GSM4568678_Fallopian Tube Normal_secretory cell,GSM4568679_Fallopian Tube Normal_ciliated epithelial cell,GSM4568679_Fallopian Tube Normal_secretory cell,GSM4568681_Fallopian Tube Normal_ciliated epithelial cell,GSM4568681_Fallopian Tube Normal_secretory cell,GSM4568682_Fallopian Tube Normal_ciliated epithelial cell,GSM4568682_Fallopian Tube Normal_secretory cell,GSM4568684_Fallopian Tube Normal_ciliated epithelial cell,GSM4568684_Fallopian Tube Normal_secretory cell,GSM4568685_Fallopian Tube Normal_ciliated epithelial cell,GSM4568685_Fallopian Tube Normal_secretory cell,GSM4675273_Cancer,GSM4675277_Cancer,ov_GSE184880_GSM5599224_Ovary Normal_eHormones,ov_GSE184880_GSM5599225_Cancer,ov_GSE184880_GSM5599226_Cancer,ov_GSE184880_GSM5599230_Cancer,ov_GSE184880_GSM5599231_Cancer,ov_GSE213243_GSM6576367_Cancer,pan_blue_hgstoc_SOL012_Cancer,pan_blueprint_ovary_scrSOL004_Cancer
SCGB2A1,0.0,0.0,0.0,0.0,0.0,0.0,0.0038070579,0.0,0.0,0.0,0.0,0.0,0.0055000717,3.1345162,30.87866,7.3323145,46.38432,3.2783175,3.686408,8.9107685,1.9564538,8.158864,2.476804,6.149012,2.186686,10.805118,2.2541826,7.545925,2.6981564,22.655546,2.1907163,0.6778308,3.9671545,0.0,0.6113671,19.04112,0.40678096,0.23229727,6.442859,1.9839118,0.0
SCGB1D2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9054192,15.586279,22.50736,26.148119,4.8861885,1.6542019,0.72833,1.376088,0.39553738,0.9167611,0.538293,3.9026594,1.1270865,1.1509749,0.9030115,7.81222,5.7265344,13.396061,0.07972393,0.6718923,0.0,0.1696262,6.1058927,0.060532525,0.15295693,2.097599,0.84779686,0.0
SCGB1D4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012539749,28.785904,0.719336,140.0082,3.4828115,0.0,0.4951216,0.0,1.5943177,0.019554166,0.23180752,0.037775084,3.5023804,0.048885178,0.4041506,0.08550732,3.1257708,0.0,0.0,0.0,0.0,0.0,0.02815502,0.00039747433,0.00060885266,0.042038374,0.03370874,0.0
ASRGL1,0.14191751,0.03882139,0.04211003,0.3276305,0.10897125,0.022715243,0.07225355,0.017803447,0.10681711,0.15049611,0.1787791,0.048475873,0.30235353,1.941628,5.904656,5.9892955,3.4064672,2.441616,1.2255448,1.5324202,2.4714231,0.5085873,0.93401027,2.2153697,3.2043464,0.70882297,1.2791903,3.9164288,4.346281,1.8678737,2.4712377,3.0600605,2.6730556,0.017976066,0.57109576,2.3886242,0.26188025,0.7839171,2.1436357,1.8100665,0.14163907
SLC3A2,1.3549167,4.8533483,2.182575,0.4771877,2.4256248,1.6235514,0.5950748,1.9144201,4.864216,4.348784,0.49594715,0.50167924,0.75795656,0.9188971,0.47973585,0.875734,0.9825382,1.0843685,0.4303729,0.9887453,1.0492669,0.5002392,0.86541593,0.6087356,1.8701531,0.47821754,1.0575135,0.59053046,1.0585431,0.20122685,0.5822241,2.6896083,0.6826242,0.5467617,1.1902564,1.862867,2.1601143,1.1368052,1.5600079,1.2881256,0.3491936
STIP1,0.7827346,4.3799343,4.434501,1.210236,4.06511,3.8899856,0.47119015,5.4494042,3.3277793,4.739573,0.6792313,0.69932705,1.5494981,0.24210869,0.897229,0.47725132,0.8849873,0.31419468,0.51802415,0.7963398,0.4791554,1.1375118,0.581264,1.0386842,0.65998536,1.0482093,0.5447964,0.8746614,0.547477,0.33106324,0.43863592,0.7921227,1.135433,1.616248,0.60489637,1.4170644,0.8365861,0.7899527,1.0997051,0.5531582,0.35714844
TM7SF2,11.428876,4.42228,1.2356749,2.195214,1.0795151,1.6191916,4.6016192,1.533996,0.7695838,0.47485623,3.5086975,2.4536116,2.0371256,0.14908005,0.4930123,0.108113356,0.30741736,0.22398274,0.119934306,0.71336323,0.18681957,0.4703698,0.18079285,0.65811986,0.19265619,0.40865126,0.029454596,0.5186224,0.168306,0.34474432,0.056282435,0.6010118,0.66959804,0.60910374,0.36297727,1.4256945,1.6198024,0.5459581,1.0899334,0.49616534,0.266334
MALAT1,620.35675,427.3953,339.14026,217.70271,356.89557,379.62793,522.1492,644.14825,236.96167,143.15482,376.64838,1070.1647,356.43915,430.3682,186.73656,257.4418,445.445,337.25745,210.92773,272.9905,453.3126,360.78595,522.9649,271.1995,422.23526,308.71106,370.5764,331.5248,230.75269,262.0352,191.06024,417.58163,109.77918,325.1612,1104.9268,265.26602,606.7551,1002.68164,245.15646,128.41563,256.4397
RNASEH2C,1.6498928,0.6927936,0.6154807,2.3328016,0.43792006,0.6689675,1.3010164,0.2280933,0.96820414,0.82361174,2.1069334,0.8516132,1.8660403,0.5284708,0.61317074,0.57261735,0.4005061,0.5063127,0.114489675,0.41237596,0.6237273,0.14375386,0.21262453,0.36874115,0.42614743,0.16025874,0.22906078,0.49986893,0.45332116,0.17841646,0.36651272,1.0418175,0.9594922,1.9956564,0.4408877,1.3966365,1.295869,0.36880755,1.6869069,0.971504,0.7236832
PRSS23,7.0302224,3.7873294,2.1946762,6.5842915,1.6071948,1.9941916,1.9887137,2.0986428,2.108697,2.6098237,7.8583694,3.1210556,6.5699925,0.10135751,0.25446117,0.13718228,0.049938075,0.070362955,0.024199976,0.5534928,0.5034508,0.05355045,0.008977716,0.34203365,0.04524563,0.077274926,0.10439107,0.4280738,0.06402223,0.30612835,0.057204902,0.57463217,0.894973,1.1125516,0.3714176,0.5962726,1.7970364,0.22451784,0.20656773,0.54934174,0.44084635
CHORDC1,1.0014691,5.3582783,11.633833,0.5877092,13.45701,8.020121,0.5696571,12.61527,13.697922,13.083205,0.24017784,0.27996722,0.4601093,0.336387,0.91742355,0.32466254,1.0373956,0.56851786,0.38852912,0.6838995,0.3465735,0.9303248,0.49884725,0.99924785,0.45846644,0.76594794,0.6102453,1.1871688,0.38183606,1.1150101,0.27821273,0.76024055,0.5506655,0.40450937,0.7730435,1.0723684,1.414903,0.31181467,0.58339506,0.27973828,0.1314969
CEP126,0.030090462,0.0471974,0.031382374,0.07701357,0.051975936,0.09048891,0.07719064,0.0,0.10156178,0.045786206,0.073155135,0.10401073,0.043943055,0.062349364,1.9852,0.069520794,3.5197608,0.13281226,0.003275747,1.9529631,0.077670224,3.3724174,0.17159535,2.0484912,0.052045144,2.9499671,0.07463345,2.0053256,0.044703893,2.0579965,0.06420315,0.035909317,0.017543277,0.11661603,0.10395059,0.1208306,0.20560184,0.021956727,0.4386542,0.010168215,0.14691019
BIRC3,0.09253859,0.079198636,0.013488201,0.0,0.0250917,0.04166899,0.022068284,0.12141333,0.042685635,0.048262928,0.0034571027,0.018902445,0.0,3.3477309,0.48075992,0.12444855,0.6225134,1.3382571,1.9975784,1.0899017,6.7501473,1.3259281,4.9607897,1.4987081,6.578566,0.91854686,4.6940417,1.5756012,4.4286075,0.6355045,1.1164894,1.182255,0.13071491,0.07884471,0.7598364,0.6860385,0.7959122,0.46510342,0.17294867,0.08268319,0.05424902
MMP7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0070060263,0.0,0.0,0.0,4.9925013,0.05174628,0.2852096,0.23213927,1.8553671,1.6884507,0.24913052,5.993881,0.22224402,9.604443,0.15966393,2.3784153,0.35936219,10.351589,0.04558894,1.4989728,0.082515836,1.3659889,24.456343,4.6052623,0.0,2.2455778,13.300071,8.91343,0.23685952,3.3295102,0.85605377,1.261562
FDX1,0.59434724,1.4709139,0.51608145,0.4856265,1.1595526,0.998901,0.48863456,1.2828755,0.5309771,0.8272642,0.38639072,0.5823616,0.45921603,0.3278102,0.4537516,0.38349348,0.3529259,0.19242913,0.03337881,0.49546257,0.4590619,0.11865494,0.11751317,0.5455849,0.7353959,0.08906576,0.105907924,0.56340706,0.58360577,0.08421346,0.033808164,0.9363694,0.6192226,54.13872,0.32410556,1.2450793,1.1837784,0.28977045,0.2709296,0.6488291,0.23729609
APOA1,7.176778,1.579149,2.2442145,4.5377812,1.075309,1.2935472,2.6740675,1.50829,0.983955,2.721104,6.788106,2.0193963,5.9652696,0.2331705,0.3230653,0.09377412,0.14487596,0.037206464,0.0,0.35073167,0.30750787,0.006688308,0.018367909,0.18361112,0.11488262,0.01623745,0.007585823,0.33426425,0.104693815,0.045649175,0.009725626,0.76382613,3.4633834,2.6112323,1.7826979,3.6803694,0.34683618,0.20260184,0.07934288,8.920593,0.027160335
TRAPPC4,4.259013,2.3617017,2.0085325,4.800398,1.750172,1.660877,3.7376957,2.2080445,1.3298243,1.8311616,5.1834774,2.1814413,4.6587834,0.28134567,0.5979284,0.4377136,0.6263019,0.22672582,0.229244,0.33437642,0.41658828,0.5382453,0.21290071,0.3577635,0.31322247,0.5466178,0.2995145,0.37818405,0.404402,0.28576204,0.2850863,0.91843235,0.47053227,0.9444321,0.42347315,0.6421191,0.64863116,0.4031602,0.2881425,0.44032472,0.49953106
CCDC153,0.008212973,0.023679622,0.0,0.033867612,0.014417821,0.0,0.020183621,0.0,0.03563751,0.023542333,0.008677379,0.020604154,0.02332905,0.094947614,2.4931073,0.10403308,2.4809577,0.040004842,0.10108438,2.4246972,0.041017666,3.550208,0.2051968,2.8712773,0.05822594,3.511277,0.22745967,2.9451253,0.07941121,3.3393652,0.13047402,0.26168504,0.12627631,0.0,0.08699968,0.23644261,0.24144983,0.018877057,0.19566292,0.055976313,0.0
SORL1,0.28529185,0.07278924,0.40745133,0.2603571,0.28870755,0.2246056,0.09091668,0.05831357,0.39652038,0.31368694,0.37793952,0.14265053,0.5230256,2.250233,0.66056204,3.244614,0.7171842,1.242328,2.2848952,0.9291979,3.2148583,0.9557018,1.9100448,0.6101366,2.7446225,0.9861395,2.238251,0.8015609,1.6216187,0.9365856,1.2671475,0.59956664,0.82642984,0.00928209,1.5857161,1.0910455,0.5073122,1.9478534,0.8231706,0.3265663,0.046573147
HSPA8,6.8516374,19.898037,20.448484,7.7241526,20.927563,19.731155,4.244373,15.032939,23.388514,25.622261,5.8687096,2.6780052,9.424493,5.1426272,7.8496985,4.434913,10.585479,7.8270187,5.1131697,5.7842736,5.128466,5.493128,4.894454,6.0948625,5.0840554,6.84074,6.255805,6.1714187,4.7342415,6.178833,2.7622652,4.8285093,7.5166516,9.219573,5.1406455,7.1283355,5.9752254,5.4764395,3.4454954,5.2838206,5.9499516
SPA17,0.034724247,0.011235878,0.030200852,0.06622867,0.018258495,0.028513813,0.036459133,0.0,0.013461648,0.026071351,0.06708765,0.013583125,0.07212896,0.14733349,4.374513,0.4357262,3.1084185,0.22011232,0.1584381,3.2933154,0.2537016,3.4072106,0.2522015,3.7106452,0.20399001,2.9802651,0.14504118,2.8045564,0.24256988,5.2421117,0.29665124,0.098942004,0.047177035,0.05451846,0.21025497,0.319984,0.09961547,0.16349144,0.31477198,0.1844017,0.18614402
FKBP4,0.5648819,3.3623672,2.5740776,0.5473781,3.238154,2.4897637,0.41220605,6.6208215,1.4625301,1.2459995,0.29310885,0.3777304,0.5806782,0.5314902,0.66327786,0.928198,0.5725884,0.75712043,0.4465302,0.4829365,0.8346183,0.33072883,0.4037366,0.5731081,0.74627453,0.34644404,0.41932887,0.51614654,1.0413537,0.14392258,0.19040161,1.0977627,2.2978525,0.9216586,1.2188077,1.6481457,1.872116,0.4824485,2.420653,0.6617078,0.8164266
CD9,0.2866994,0.15629242,0.22632506,0.75330615,0.42407537,0.75480676,0.4563687,0.11644323,0.16464129,0.27935958,0.5584469,0.39200047,0.57640254,4.5895205,2.2820642,6.8928843,4.035699,4.060067,5.7641454,2.5844297,9.636756,3.6266997,6.176632,1.7614924,5.0797997,3.3867078,8.084057,2.1313574,4.533876,2.848335,7.9552402,14.279452,7.9197416,0.53207517,4.4211955,4.9904594,10.467232,2.8647318,12.339582,14.559338,1.4255204
LRRC23,0.14773965,0.15348428,0.025567813,0.07714373,0.106390275,0.029642796,0.08320958,0.034610897,0.13061242,0.102453426,0.10796997,0.07539532,0.05407083,0.29803556,4.4255877,0.26151052,3.621509,0.5630266,0.17896953,5.721552,0.33318138,4.0824347,0.23302391,6.5007534,0.18228681,4.164097,0.35684863,5.761851,0.27527934,5.7251267,0.13897975,0.2987484,0.32587188,0.15331264,0.17167361,0.2421169,0.3541996,0.07242959,0.6636454,0.15738873,0.3533494
EPS8,1.1535501,4.969316,2.7310505,0.38328087,3.0689676,3.6281655,1.1401734,6.1869655,1.2272732,1.5808095,0.51307565,2.0305014,0.6188735,0.33431524,0.33618823,0.6745075,0.33981022,0.38190496,0.22377996,0.21004947,0.6306139,0.18129128,0.3179252,0.20974682,0.79504013,0.18583438,0.26928157,0.37483883,0.32489038,0.3452368,0.1741285,0.20228517,0.030866785,0.42368478,0.17762245,0.23184146,0.0796103,0.083259046,0.04854144,0.05590826,0.12457249
MGST1,0.18911256,0.66944736,0.046431787,0.12994534,0.18032134,0.071828716,0.09235515,0.3581155,0.046791956,0.1429166,0.17694503,0.24942905,0.09774029,1.281667,1.5190072,13.611974,0.5611973,2.1014986,3.0003827,0.15252958,1.8414446,0.08290972,0.7638955,0.23223265,2.849421,0.09200318,1.2172996,0.26578057,4.043394,0.49452925,3.0979471,1.2226008,0.039271835,13.372663,0.1615205,0.6171433,0.107617564,0.07304021,0.0038171182,0.433365,0.49715182
FGD4,0.91634274,3.230656,2.8406556,0.14064407,4.7607975,3.5696259,0.34625715,4.472392,1.4232033,1.8727417,0.1705787,0.6839964,0.1971858,0.25322726,0.21820854,0.2610024,0.3029988,0.24259385,0.17994016,0.18583238,0.14761683,0.13392927,0.22504745,0.18991083,0.15366061,0.20865376,0.11131245,0.19937672,0.096752495,0.18117371,0.08650374,0.2595239,0.10787731,0.09422953,0.2946128,0.1519938,0.13944148,0.1590835,0.46916822,0.06932872,0.15008365
TUBA1B,15.083492,12.886388,7.9624395,25.287899,6.616643,8.751927,7.8154144,4.2694335,12.497924,16.848354,15.366938,10.361981,27.184858,1.9359177,2.5056913,2.1958919,2.3497467,2.338018,2.9521031,2.4906864,4.403456,1.68003,2.6591456,2.3995762,4.668022,2.0764186,2.8184414,1.8199914,4.323461,5.3073263,5.192753,13.490681,13.424676,9.73782,3.3184898,6.3670125,9.413055,6.000937,2.887787,7.915594,10.232713
KRT18,1.6976436,9.9452,7.113875,1.0732636,7.2463994,6.3356977,0.538753,2.2717998,14.83852,17.64747,0.4368402,1.1397295,0.8297279,8.277331,8.426759,9.619908,7.3651147,9.544547,3.001465,2.9414837,10.1189,3.8557606,10.447899,2.8337462,7.656346,3.46594,10.165224,4.609022,7.3213754,2.8373508,6.58409,30.252422,16.50431,1.7310817,20.594488,9.4142,19.480722,10.299684,8.410737,33.563587,4.8356915
RPS26,1.9410032,2.2515357,5.48367,7.0409174,5.123813,5.7082167,3.4142044,2.6138299,11.49653,11.342527,5.1171107,3.5143774,5.5053744,3.36349,17.193714,28.874578,12.139458,24.693789,25.328781,9.399828,12.407571,9.280982,14.110563,10.259293,14.879526,9.726648,18.047197,11.343402,21.48006,15.86099,28.223877,2.0815067,14.919038,13.975661,7.027567,8.376316,4.0395727,4.5430517,2.5858815,50.84096,13.834672
CCT2,2.1355584,5.9764237,2.448417,1.1474072,2.9274468,2.65471,0.92996997,2.9103837,4.1396456,4.16946,1.0976542,1.4414473,1.4817905,0.7328781,1.305101,0.76546365,1.2044119,0.6087582,0.9556704,0.8640866,0.8269972,1.0981083,0.8807152,1.0858841,0.8118296,1.1068935,1.1482902,1.0533228,0.70611066,1.4061991,0.9203277,1.508884,1.9994932,2.403968,0.97854364,1.5656449,1.6029578,0.92997116,0.96591944,2.3611288,2.2822745
PHLDA1,0.42474246,3.5844355,2.4454248,0.07473419,3.4533565,2.903249,0.20219344,2.1744068,3.115068,3.6570194,0.06775569,0.50467646,0.1739941,0.1721246,0.10908172,0.18218467,0.121749766,0.13785002,0.06832787,1.3420807,0.74164844,0.09674875,0.1470533,1.2866701,0.75574625,0.086269885,0.1300852,0.54491806,0.30337068,0.07793843,0.019929064,0.41559932,0.21295647,1.7452312,0.18935609,0.2716282,0.2343438,0.20096168,0.21866407,0.031303313,0.7054651
LRRIQ1,0.05062625,0.0135706635,0.0,0.027139692,0.06130015,0.026518848,0.066785134,0.0,0.10080984,0.110361256,0.028091071,0.08869786,0.07938996,0.14917916,4.784651,0.21383165,3.275731,0.14073472,0.2056583,3.0088944,0.14984144,7.9723005,0.40867236,3.1798086,0.026892148,7.9492545,0.3779441,2.83987,0.08358264,4.274723,0.13865998,0.36411706,0.23806064,0.012592538,0.303118,0.04705011,0.3118649,0.044439025,0.23071384,0.038890023,0.5134036
C12orf75,0.12121243,0.067943774,0.33376133,0.09436552,0.18307956,0.3258305,0.052735746,0.17029172,0.17473263,0.24619968,0.09651803,0.26606798,0.17162877,0.2468219,4.828552,0.7278517,2.5786183,0.28702584,0.029831683,5.3135877,1.2811592,0.71121603,0.10843138,7.20995,0.57396215,0.60192347,0.14737958,7.747976,0.6468648,2.3625891,0.100099,2.1162772,0.8774169,0.8961159,0.06888404,1.2726277,0.56834286,0.4583673,0.28691462,2.20759,1.4401798
FBXO21,0.7285256,0.4536107,0.822447,0.7935085,0.63926923,0.38179174,1.1264849,0.85707116,0.73108435,0.75188375,0.5987058,1.1009399,0.54310507,2.7605457,4.5034423,6.358507,3.3732367,5.119368,2.6614308,0.77501935,2.8039184,0.9187485,1.9539168,1.0198475,2.2133136,0.72010374,1.710744,1.511022,1.407496,0.8625315,1.6212875,0.70796424,1.0892353,0.35612452,0.569948,1.4633232,0.22964028,1.863558,2.6430786,0.5667914,0.2811614
RPLP0,28.810198,29.257717,12.162358,14.160015,13.900537,13.48,18.116863,14.746973,14.3991375,13.315003,13.961063,10.400659,13.959662,31.52556,11.25051,27.141869,7.941893,32.375355,38.85064,8.238715,21.324255,6.6818557,27.6128,9.222179,23.753717,7.919981,33.976593,7.9454093,33.39202,11.674763,42.075424,25.476084,32.973083,17.55636,5.689461,12.863279,16.803932,10.032211,10.312373,59.03664,31.352854
DYNLL1,6.3262067,8.313001,12.106936,13.876129,10.263208,12.077056,8.228478,7.2422733,17.649326,22.302742,13.10498,8.5774355,16.147587,4.93877,25.736195,6.1426454,26.41276,4.983996,4.867697,21.389317,4.475514,23.582981,4.0149884,23.516665,4.6717653,23.460812,4.6958456,26.068542,4.764924,30.682285,4.8311825,5.4227996,8.6883955,13.249841,2.5667708,8.668884,5.0177917,4.9982867,9.410924,8.513533,5.8401012
RSRC2,1.6067985,2.9804013,14.203183,3.0253904,15.444311,15.930574,2.2452292,8.672734,8.452515,5.71884,1.1802762,1.1522613,1.3576645,1.3757129,1.8035291,1.2583007,3.1683915,2.2086945,1.2892973,1.4257001,1.811134,1.8481957,1.988878,1.6569861,2.0029953,1.5006695,1.7009614,1.941616,1.424003,1.5391017,1.0555073,2.6300335,1.07036,1.118406,1.030864,0.9101045,1.7399749,1.3505625,1.924854,1.4658622,1.1327475
SCARB1,1.2710607,0.7339518,0.5367244,0.28673586,0.2721866,0.39952257,0.3140353,0.37474123,0.44120556,0.36677912,1.2665473,1.6092911,0.5203535,0.062248886,0.027542228,0.0759921,0.013501041,0.029038,0.054250836,0.036924273,0.08716836,0.059961233,0.10686562,0.008596435,0.081426136,0.025950916,0.09348841,0.010413493,0.1127746,0.012625861,0.04779967,0.07397612,0.040890824,21.474983,0.087083116,0.22859558,0.2039362,0.047632597,0.04075366,0.050793733,0.23951134
UBC,15.92579,38.051117,19.562965,6.4689384,22.291998,17.347216,4.9484177,14.881517,30.24006,30.989979,7.681407,7.1320057,11.570177,8.199572,16.63054,6.4936857,23.897,11.679868,9.915368,20.92618,22.921999,21.02424,21.22157,17.189602,19.766441,17.449486,15.8974285,22.453247,18.827932,21.054306,20.987429,12.945181,9.142698,6.4765787,14.5430565,8.181303,22.379051,13.397185,10.320976,11.191961,7.653119
HSPH1,2.089569,14.259234,35.021942,1.7602766,41.81789,26.768066,3.256608,60.879913,12.5014515,12.875805,0.5047073,0.86143506,1.2901951,3.6646926,3.4149542,0.85672706,5.3414626,2.6124718,2.7048368,4.5487747,2.8044112,3.297364,2.8199935,4.7163634,2.416562,3.1102471,2.752528,5.521648,2.056384,2.2096906,0.33156002,1.7281699,0.9589478,1.3953902,1.9468377,1.1796644,4.0767646,1.5228926,1.4400123,0.30922997,0.28351408
FAM216B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04154671,2.9033916,0.09059867,2.2417948,0.08457015,0.0,2.4494321,0.14674947,3.404301,0.062325977,2.8553846,0.09406768,2.9319015,0.07878142,2.8576846,0.052065715,2.7882268,0.04034961,0.0,0.0,0.0,0.00037438003,0.001083536,0.0004243065,0.0,0.015621118,0.0,0.0
TPT1,21.538609,33.161842,18.423983,11.289206,17.197432,16.110258,12.266477,15.626331,19.274027,15.773883,11.768384,28.180788,10.380039,64.392654,26.602457,60.209183,16.281384,37.75082,73.360596,19.842762,35.461628,19.039585,42.170406,19.417547,41.40806,20.258505,47.88187,18.924126,39.785976,20.625324,38.030525,12.124221,21.332254,66.352875,15.84324,69.81526,21.353,16.995224,10.564586,26.362967,22.872795
KLF5,0.0,0.25053266,0.46824977,0.00690932,0.4871856,0.61502045,0.02425804,1.0939534,0.16495174,0.47576198,0.0038492156,0.02138674,0.0,3.0562766,1.8867606,0.98333067,4.0467386,5.527523,2.6927261,1.8336711,5.602854,1.666749,5.77497,2.2689786,5.5352764,1.4041673,3.200637,4.091132,3.5199523,1.5654807,1.2457831,1.4827241,2.1674604,0.015273126,0.9062599,0.43781486,0.4553804,0.5767889,0.57844055,0.33488944,0.0
CLDN10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009772461,0.0,0.007098494,0.0,2.3715467,0.38886115,3.7762249,0.56403804,0.78857386,3.0748467,0.23669647,4.611758,0.49910855,1.1553633,0.52632743,3.5201561,0.68940187,1.4681773,0.38417253,2.4490006,0.9290832,3.224716,0.9470785,0.16897753,0.024292693,0.49584544,0.9566567,0.039274957,0.74633276,0.17480639,0.061212108,0.0
RNASE1,1.1197468,0.2660036,0.4578709,2.1976573,0.54663503,0.4109711,0.80912757,0.28656256,0.92987907,0.76166403,1.0394248,1.1909156,2.6342537,0.7310691,6.4552746,20.684608,1.0062387,1.6141841,1.5203412,0.26666898,1.8289043,0.07012498,0.4541842,0.83241814,1.8449028,0.18904734,0.8700574,0.7254716,1.944733,1.8613949,2.8135867,1.7222506,2.2545161,0.11650678,1.8279035,3.8361104,0.19231954,11.556263,0.6339691,0.14061652,0.37234077
NFKBIA,2.3542922,3.7323358,2.2203805,0.7783253,2.977861,2.2728417,1.0350761,1.5565735,3.5938013,2.826926,0.92330205,0.72290117,0.9148101,10.166604,3.8986626,3.6808038,3.2903192,10.021779,3.1676097,4.4601383,16.560822,1.050148,7.69729,4.057043,16.458757,0.84324867,5.9493113,5.483006,8.597487,1.5855083,3.516789,8.687874,2.7213311,1.2362394,4.034137,4.7524796,1.6262403,2.0479448,2.9298165,2.1101215,0.40995452
PTGER2,0.20257148,3.3289254,1.3154055,0.13955374,2.2250764,1.5765188,0.14753233,4.8363805,1.2373147,1.9409119,0.14059108,0.16125855,0.1981068,0.023609985,0.101983,0.0,0.101528645,0.0,0.005261756,0.31399366,0.028908605,0.19727634,0.07970874,0.24705978,0.033568345,0.16531119,0.012914604,0.23608159,0.03382323,0.039465312,0.0,0.070706114,0.08715085,0.03142642,0.005342884,0.04303168,0.00023931566,0.0054933405,0.0049841073,0.13234338,0.0
HIF1A,3.0669158,9.346421,4.9542823,3.5799186,5.5867352,7.3863435,2.180442,9.997888,4.474033,6.3739004,4.581827,3.0077043,3.3116705,1.0820016,1.0571133,3.2110653,0.61994493,1.0048115,1.30835,0.73948354,2.0275173,0.49912786,1.0096033,0.6616983,2.882445,0.4909268,0.9339372,1.0123742,2.5643237,0.7902161,1.3467884,0.8065506,0.2860144,6.5830684,0.5720752,1.8910409,0.42417565,0.615415,0.41077062,0.3687965,0.29388937
SNAPC1,0.45219988,2.625087,4.14375,0.3550152,7.0327816,4.741486,0.37130958,6.7894583,4.8185587,4.992702,0.26004386,0.24150386,0.36422965,0.26849857,0.42271397,0.34698284,0.5981897,0.33303475,0.18615368,0.53032416,0.091951154,0.274963,0.14648244,0.552601,0.279896,0.26408315,0.13208845,0.7345083,0.20736761,0.83259463,0.14899,0.39964318,0.19573951,0.24949716,0.119652,1.1685147,0.23064955,0.122303955,0.10091874,0.18964757,0.329567
ZFP36L1,0.2813164,0.40042022,1.5126233,0.2676506,1.5309085,0.45337522,0.3327814,0.53330266,2.2598631,1.285784,0.16287681,0.56349957,0.5747735,8.62956,2.780988,2.1747396,5.8296556,11.7570095,9.518556,2.95254,12.697705,1.9541863,9.2543,3.4432857,14.323591,1.9495027,9.670734,5.4925776,6.1810484,2.4001825,3.9109983,5.374255,3.1290772,1.121088,9.674246,12.881609,9.715895,9.819704,0.8223077,2.8010788,2.0184164
AHSA1,1.5186201,4.5593114,10.298574,1.1763227,9.204754,9.302349,0.83399105,6.6099186,4.695442,5.3168654,0.82020634,0.77426857,1.3040965,0.89442617,2.6321445,1.161801,2.6271656,0.97158724,0.89019424,2.4419258,1.2559764,3.0242324,0.8589652,2.6374774,1.1375902,3.0831964,0.921175,2.9028697,1.4985187,3.421901,0.9817369,0.913354,1.3522243,1.0052171,0.4635549,2.692378,1.0383751,0.39018404,0.6194891,0.903986,0.53310305
AL357093.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.073283024,12.346274,0.37792963,9.723794,0.19652139,0.0124070905,13.087533,0.48271805,8.414251,0.22714436,15.954604,0.44160348,8.744796,0.10314486,12.302323,0.3095683,18.311277,0.052277997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18961738,0.0,0.0
IFI27,39.071655,23.86619,12.236915,49.655666,11.673494,14.896824,24.412458,7.776283,12.315571,12.889436,51.44831,18.018595,16.232183,1.0609465,5.9834456,1.8043754,1.4029232,0.9248968,0.4926386,3.863328,2.0899277,4.6756997,1.8367326,2.8347058,1.3095068,5.6870546,2.0661628,3.2791815,1.2824482,9.065111,2.8395221,14.126419,0.2953982,4.6294084,4.6554275,42.883224,19.243244,45.057053,46.612026,39.785366,2.0482128
HSP90AA1,16.957176,83.04465,63.72753,11.189916,76.5798,64.29671,10.200307,119.08227,38.637234,36.174946,4.217369,7.0290112,10.276463,16.112846,36.368305,8.834557,57.1672,15.641041,11.592002,24.972565,17.411104,27.56639,14.362149,25.90282,15.275191,26.35113,15.228403,24.709032,9.80502,30.230906,6.7680364,20.209272,9.764189,15.255227,13.976629,29.53108,36.708023,32.6298,11.8651085,7.687783,4.5298586
